COMPANY,CATEGORY
Citigroup,Banking
General Electric,Conglomerates
American Intl Group,Insurance
ExxonMobil,Oil & gas operations
BP,Oil & gas operations
Bank of America,Banking
HSBC Group,Banking
Toyota Motor,Consumer durables
Fannie Mae,Diversified financials
Wal-Mart Stores,Retailing
UBS,Diversified financials
ING Group,Diversified financials
Royal Dutch/Shell Group,Oil & gas operations
Berkshire Hathaway,Insurance
JP Morgan Chase,Banking
IBM,Technology hardware & equipment
Total,Oil & gas operations
BNP Paribas,Banking
Royal Bank of Scotland,Banking
Freddie Mac,Diversified financials
DaimlerChrysler,Consumer durables
Altria Group,Food drink & tobacco
ChevronTexaco,Oil & gas operations
Pfizer,Drugs & biotechnology
Wells Fargo,Banking
Verizon Commun,Telecommunications services
Barclays,Banking
Morgan Stanley,Diversified financials
General Motors,Consumer durables
Nippon Tel & Tel,Telecommunications services
Microsoft,Software & services
Nestle,Food drink & tobacco
SBC Communications,Telecommunications services
Deutsche Bank Group,Diversified financials
Siemens Group,Conglomerates
HBOS,Banking
ENI,Oil & gas operations
ConocoPhillips,Oil & gas operations
Banco Santander Central,Banking
Merrill Lynch,Diversified financials
Wachovia,Banking
Time Warner,Media
Hewlett-Packard,Technology hardware & equipment
Procter & Gamble,Household & personal products
Samsung Electronics,Semiconductors
Johnson & Johnson,Drugs & biotechnology
Lloyds TSB Group,Banking
ABN-Amro Holding,Banking
Honda Motor,Consumer durables
American Express,Diversified financials
Nissan Motor,Consumer durables
Bank One,Banking
AXA Group,Insurance
Societe Generale Group,Banking
PetroChina,Oil & gas operations
Goldman Sachs Group,Diversified financials
BBVA-Banco Bilbao Vizcaya,Banking
Intel,Semiconductors
MetLife,Insurance
Home Depot,Retailing
Viacom,Media
Allstate,Insurance
Merck & Co,Drugs & biotechnology
Novartis Group,Drugs & biotechnology
ENEL,Utilities
Unilever,Food drink & tobacco
Washington Mutual,Banking
Credit Agricole,Banking
Deutsche Post,Transportation
Comcast,Media
Volkswagen Group,Consumer durables
Tokyo Electric Power,Utilities
Munich Re,Insurance
BMW-Bayerische Motor,Consumer durables
Ford Motor,Consumer durables
Tyco International,Conglomerates
US Bancorp,Banking
Roche Group,Drugs & biotechnology
Royal Bank of Canada,Banking
GlaxoSmithKline,Drugs & biotechnology
China Petroleum & Chemical,Oil & gas operations
Sony,Consumer durables
Nokia,Technology hardware & equipment
BellSouth,Telecommunications services
Walt Disney,Media
Natl Australia Bank,Banking
Gazprom,Oil & gas operations
Carrefour Group,Food markets
Cisco Systems,Technology hardware & equipment
